minTotal value	# of included sequences	% of included sequences
1349	4	0.00113
1350	4	0.00113
1351	4	0.00113
1352	4	0.00113
1353	4	0.00113
1354	4	0.00113
1355	4	0.00113
1356	4	0.00113
1357	4	0.00113
1358	4	0.00113
1359	4	0.00113
1360	4	0.00113
1361	4	0.00113
1362	4	0.00113
1363	4	0.00113
1364	4	0.00113
1365	4	0.00113
1366	4	0.00113
1367	4	0.00113
1368	4	0.00113
1369	4	0.00113
1370	4	0.00113
1371	4	0.00113
1372	4	0.00113
1373	4	0.00113
1374	4	0.00113
1375	4	0.00113
1376	4	0.00113
1377	4	0.00113
1378	4	0.00113
1379	4	0.00113
1380	4	0.00113
1381	4	0.00113
1382	4	0.00113
1383	4	0.00113
1384	4	0.00113
1385	4	0.00113
1386	4	0.00113
1387	4	0.00113
1388	4	0.00113
1389	4	0.00113
1390	4	0.00113
1391	4	0.00113
1392	4	0.00113
1393	4	0.00113
1394	4	0.00113
1395	4	0.00113
1396	4	0.00113
1397	4	0.00113
1398	4	0.00113
1399	4	0.00113
1400	4	0.00113
1401	4	0.00113
1402	4	0.00113
1403	4	0.00113
1404	4	0.00113
1405	4	0.00113
1406	4	0.00113
1407	4	0.00113
1408	4	0.00113
1409	4	0.00113
1410	4	0.00113
1411	4	0.00113
1412	4	0.00113
1413	4	0.00113
1414	4	0.00113
1415	4	0.00113
1416	4	0.00113
1417	4	0.00113
1418	4	0.00113
1419	4	0.00113
1420	4	0.00113
1421	4	0.00113
1422	4	0.00113
1423	4	0.00113
1424	4	0.00113
1425	4	0.00113
1426	4	0.00113
1427	4	0.00113
1428	4	0.00113
1429	4	0.00113
1430	4	0.00113
1431	4	0.00113
1432	4	0.00113
1433	4	0.00113
1434	4	0.00113
1435	4	0.00113
1436	4	0.00113
1437	4	0.00113
1438	4	0.00113
1439	4	0.00113
1440	4	0.00113
1441	4	0.00113
1442	4	0.00113
1443	4	0.00113
1444	4	0.00113
1445	4	0.00113
1446	4	0.00113
1447	4	0.00113
1448	4	0.00113
1449	4	0.00113
1450	4	0.00113
1451	4	0.00113
1452	4	0.00113
1453	4	0.00113
1454	4	0.00113
1455	4	0.00113
1456	4	0.00113
1457	4	0.00113
1458	4	0.00113
1459	4	0.00113
1460	4	0.00113
1461	4	0.00113
1462	4	0.00113
1463	4	0.00113
1464	4	0.00113
1465	4	0.00113
1466	4	0.00113
1467	4	0.00113
1468	4	0.00113
1469	4	0.00113
1470	4	0.00113
1471	4	0.00113
1472	4	0.00113
1473	4	0.00113
1474	4	0.00113
1475	4	0.00113
1476	4	0.00113
1477	4	0.00113
1478	4	0.00113
1479	4	0.00113
1480	4	0.00113
1481	4	0.00113
1482	4	0.00113
1483	4	0.00113
1484	4	0.00113
1485	4	0.00113
1486	4	0.00113
1487	4	0.00113
1488	4	0.00113
1489	4	0.00113
